Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
field-capture-abandoned/1024/work,5.930887229451812e-6,5.928773834552045e-6,5.932786086919969e-6,4.287666468179735e-9,3.249472924249788e-9,5.6813234527706144e-9
rest-suffix/1024/control,2.601732011870534e-7,2.599308081750861e-7,2.6075470058610223e-7,7.848436396858387e-10,3.4379343341505676e-10,1.442223071771686e-9
rest-suffix/1024/work,2.60023911686289e-7,2.5985621218841154e-7,2.6019301092814987e-7,3.622283179188752e-10,2.908429391004333e-10,4.693605338193909e-10
pair-bounded/2048/control,2.3163240986447555e-5,2.3129144392049927e-5,2.3184584496132125e-5,5.728041727434448e-8,3.6269478488817525e-8,8.100247191584342e-8
pair-bounded/2048/work,3.280293868994719e-5,3.276655714328877e-5,3.2826515776505964e-5,6.275202280086399e-8,4.110820940021231e-8,9.80357436972498e-8
data-i-bounded/1024/control,2.434461009460008e-5,2.4181763670686256e-5,2.4501881898741027e-5,3.336577104222511e-7,2.90084962411149e-7,3.7070623527217833e-7
data-i-bounded/1024/work,3.076194815165192e-5,3.061950430836875e-5,3.091140510802443e-5,3.085709092963662e-7,2.501117531466767e-7,3.8624648368555237e-7
data-b-bounded/1024/control,2.4039957136234234e-5,2.3956170208598537e-5,2.4135101613557112e-5,1.9598022692649987e-7,1.608217432521025e-7,2.3540026225064105e-7
data-b-bounded/1024/work,3.2315118661684704e-5,3.227771763229398e-5,3.236240404073331e-5,8.864691385754665e-8,6.916195804226308e-8,1.085061317563852e-7
bytestring-8-byte-chunks/1024/control,2.337067607628518e-7,2.3173760765187268e-7,2.397439643033179e-7,7.080537902645739e-9,6.406880656384943e-10,1.3565888544619373e-8
bytestring-8-byte-chunks/1024/work,6.525655095417113e-7,6.52286272168374e-7,6.528105686242574e-7,5.299592209135468e-10,4.20058193886454e-10,7.298560270032661e-10
